plot	gid	female	male	type	N	rep	row	col	SDM	SRA	NAE
207	711	7	11	sc	ideal	1	52	3	0.844	0.154	0.091
208	711	7	11	sc	ideal	2	52	4	0.951	0.138	0.111
209	712	7	12	sc	low	1	53	1	0.375	0.128	0.286
210	712	7	12	sc	low	2	53	2	0.2	0.124	0.165
211	712	7	12	sc	ideal	1	53	3	1.002	0.158	0.126
212	712	7	12	sc	ideal	2	53	4	0.558	0.144	0.063
213	713	7	13	sc	low	1	54	1	0.32	0.12	0.24
214	713	7	13	sc	low	2	54	2	0.474	0.103	0.363
215	713	7	13	sc	ideal	1	54	3	0.972	0.171	0.12
216	713	7	13	sc	ideal	2	54	4	0.838	0.121	0.095
217	714	7	14	sc	low	1	55	1	0.377	0.093	0.239
218	714	7	14	sc	low	2	55	2	0.535	0.084	0.249
219	714	7	14	sc	ideal	1	55	3	0.674	0.125	0.082
220	714	7	14	sc	ideal	2	55	4	0.78	0.099	0.087
